scenario_cls,BaseSAVPolicyCls,outcome_type,as_group,outcome,percent_adopt,propagation_round,value,yerr,scenario_config_label,scenario_label
SAVScenario,Feasible-Path uRPF,DATA,all_wout_ixps,DISCONNECTED,0.3,0,0.9090909090909091,3.5636363636363644,,feasible
SAVScenario,Feasible-Path uRPF,DATA,all_wout_ixps,FORWARD,0.3,0,0.0,0.0,,feasible
SAVScenario,EFP uRPF,DATA,all_wout_ixps,FALSE_NEGATIVE,0.3,0,99.0909090909091,3.5636363636363644,,enhanced
SAVScenario,EFP uRPF,DATA,all_wout_ixps,FALSE_POSITIVE,0.3,0,0.0,0.0,,enhanced
SAVScenario,EFP uRPF,DATA,all_wout_ixps,TRUE_NEGATIVE,0.3,0,99.0909090909091,3.5636363636363644,,enhanced
SAVScenario,EFP uRPF,DATA,all_wout_ixps,TRUE_POSITIVE,0.3,0,0.0,0.0,,enhanced
SAVScenario,EFP uRPF,DATA,all_wout_ixps,FILTERED_ON_PATH,0.3,0,0.0,0.0,,enhanced
SAVScenario,EFP uRPF,DATA,all_wout_ixps,DISCONNECTED,0.3,0,0.9090909090909091,3.5636363636363644,,enhanced
SAVScenario,EFP uRPF,DATA,all_wout_ixps,FORWARD,0.3,0,0.0,0.0,,enhanced
SAVScenario,BAR SAV,DATA,all_wout_ixps,FALSE_NEGATIVE,0.3,0,1.8181818181818181,4.781119893708641,,bar_sav
SAVScenario,BAR SAV,DATA,all_wout_ixps,FALSE_POSITIVE,0.3,0,61.81818181818182,14.779427291826304,,bar_sav
SAVScenario,BAR SAV,DATA,all_wout_ixps,TRUE_NEGATIVE,0.3,0,0.9090909090909091,3.5636363636363644,,bar_sav
SAVScenario,BAR SAV,DATA,all_wout_ixps,TRUE_POSITIVE,0.3,0,40.90909090909091,40.065163450484626,,bar_sav
SAVScenario,BAR SAV,DATA,all_wout_ixps,FILTERED_ON_PATH,0.3,0,70.9090909090909,23.905599468543205,,bar_sav
SAVScenario,BAR SAV,DATA,all_wout_ixps,DISCONNECTED,0.3,0,0.9090909090909091,3.5636363636363644,,bar_sav
SAVScenario,BAR SAV,DATA,all_wout_ixps,FORWARD,0.3,0,0.0,0.0,,bar_sav
SAVScenario,EFP uRPF Alg A,DATA,all_wout_ixps,FALSE_NEGATIVE,0.3,0,99.0909090909091,3.5636363636363644,,efp_alg_a
SAVScenario,EFP uRPF Alg A,DATA,all_wout_ixps,FALSE_POSITIVE,0.3,0,0.0,0.0,,efp_alg_a
SAVScenario,EFP uRPF Alg A,DATA,all_wout_ixps,TRUE_NEGATIVE,0.3,0,99.0909090909091,3.5636363636363644,,efp_alg_a
SAVScenario,EFP uRPF Alg A,DATA,all_wout_ixps,TRUE_POSITIVE,0.3,0,0.0,0.0,,efp_alg_a
SAVScenario,EFP uRPF Alg A,DATA,all_wout_ixps,FILTERED_ON_PATH,0.3,0,3.6363636363636362,9.562239787417282,,efp_alg_a
SAVScenario,EFP uRPF Alg A,DATA,all_wout_ixps,DISCONNECTED,0.3,0,0.9090909090909091,3.5636363636363644,,efp_alg_a
SAVScenario,EFP uRPF Alg A,DATA,all_wout_ixps,FORWARD,0.3,0,0.0,0.0,,efp_alg_a
SAVScenario,FP uRPF Only Customers,DATA,all_wout_ixps,FALSE_NEGATIVE,0.3,0,61.81818181818182,58.09929602281862,,fp_only_customers
SAVScenario,FP uRPF Only Customers,DATA,all_wout_ixps,FALSE_POSITIVE,0.3,0,0.0,0.0,,fp_only_customers
SAVScenario,FP uRPF Only Customers,DATA,all_wout_ixps,TRUE_NEGATIVE,0.3,0,99.0909090909091,3.5636363636363644,,fp_only_customers
SAVScenario,FP uRPF Only Customers,DATA,all_wout_ixps,TRUE_POSITIVE,0.3,0,0.0,0.0,,fp_only_customers
SAVScenario,FP uRPF Only Customers,DATA,all_wout_ixps,FILTERED_ON_PATH,0.3,0,43.63636363636363,54.74562060299081,,fp_only_customers
SAVScenario,FP uRPF Only Customers,DATA,all_wout_ixps,DISCONNECTED,0.3,0,0.9090909090909091,3.5636363636363644,,fp_only_customers
SAVScenario,FP uRPF Only Customers,DATA,all_wout_ixps,FORWARD,0.3,0,0.0,0.0,,fp_only_customers
SAVScenario,RFC8704,DATA,all_wout_ixps,FALSE_NEGATIVE,0.3,0,90.0,35.457734122345,,rfc8704
SAVScenario,RFC8704,DATA,all_wout_ixps,FALSE_POSITIVE,0.3,0,0.0,0.0,,rfc8704
SAVScenario,RFC8704,DATA,all_wout_ixps,TRUE_NEGATIVE,0.3,0,99.0909090909091,3.5636363636363644,,rfc8704
SAVScenario,RFC8704,DATA,all_wout_ixps,TRUE_POSITIVE,0.3,0,0.0,0.0,,rfc8704
SAVScenario,RFC8704,DATA,all_wout_ixps,FILTERED_ON_PATH,0.3,0,10.909090909090908,35.63636363636364,,rfc8704
SAVScenario,RFC8704,DATA,all_wout_ixps,DISCONNECTED,0.3,0,0.9090909090909091,3.5636363636363644,,rfc8704
SAVScenario,RFC8704,DATA,all_wout_ixps,FORWARD,0.3,0,0.0,0.0,,rfc8704
SAVScenario,Strict uRPF,DATA,all_wout_ixps,FALSE_NEGATIVE,0.4,0,33.63636363636363,43.35350748867094,,strict
SAVScenario,Strict uRPF,DATA,all_wout_ixps,FALSE_POSITIVE,0.4,0,0.0,0.0,,strict
SAVScenario,Strict uRPF,DATA,all_wout_ixps,TRUE_NEGATIVE,0.4,0,74.54545454545455,38.61245634667609,,strict
SAVScenario,Strict uRPF,DATA,all_wout_ixps,TRUE_POSITIVE,0.4,0,0.0,0.0,,strict
SAVScenario,Strict uRPF,DATA,all_wout_ixps,FILTERED_ON_PATH,0.4,0,76.36363636363636,30.489403117793877,,strict
SAVScenario,Strict uRPF,DATA,all_wout_ixps,DISCONNECTED,0.4,0,1.8181818181818181,4.781119893708641,,strict
SAVScenario,Strict uRPF,DATA,all_wout_ixps,FORWARD,0.4,0,0.0,0.0,,strict
SAVScenario,Feasible-Path uRPF,DATA,all_wout_ixps,FALSE_NEGATIVE,0.4,0,32.72727272727273,38.87468317215637,,feasible
SAVScenario,Feasible-Path uRPF,DATA,all_wout_ixps,FALSE_POSITIVE,0.4,0,0.0,0.0,,feasible
SAVScenario,Feasible-Path uRPF,DATA,all_wout_ixps,TRUE_NEGATIVE,0.4,0,98.18181818181819,4.781119893708641,,feasible
SAVScenario,Feasible-Path uRPF,DATA,all_wout_ixps,TRUE_POSITIVE,0.4,0,0.0,0.0,,feasible
SAVScenario,Feasible-Path uRPF,DATA,all_wout_ixps,FILTERED_ON_PATH,0.4,0,68.18181818181819,36.55116735086232,,feasible
SAVScenario,Feasible-Path uRPF,DATA,all_wout_ixps,DISCONNECTED,0.4,0,1.8181818181818181,4.781119893708641,,feasible
SAVScenario,Feasible-Path uRPF,DATA,all_wout_ixps,FORWARD,0.4,0,0.0,0.0,,feasible
